Player,Test_Rank,Test_Matches,Test_Innings,Test_Average,Test_Strike_Rate,Test_Highest_Score,Test_Fours,Test_Sixes,Test_Fifties,Test_Hundreds,Test_Runs,ODI_Rank,ODI_Matches,ODI_Innings,ODI_Average,ODI_Strike_Rate,ODI_Highest_Score,ODI_Fours,ODI_Sixes,ODI_Fifties,ODI_Hundreds,ODI_Runs,T20I_Rank,T20I_Matches,T20I_Innings,T20I_Average,T20I_Strike_Rate,T20I_Highest_Score,T20I_Fours,T20I_Sixes,T20I_Fifties,T20I_Hundreds,T20I_Runs,Gender
Ruturaj Gaikwad,,,,,,,,,,,,86.0,9.0,8.0,28.5,89.76,105.0,28,2,1,1,228.0,24.0,23.0,20.0,39.56,143.53,123.0,65,24,4,1,633.0,Male
S Badrinath,139.0,2.0,3.0,21.0,35.39,56,8,-,1,-,63.0,134.0,7.0,6.0,15.8,45.93,27.0,4,-,-,-,79.0,51.0,1.0,1.0,43.0,116.21,43.0,5,-,-,-,43.0,Male
Saba Karim,166.0,1.0,1.0,15.0,32.60,15,2,-,-,-,15.0,71.0,34.0,27.0,15.73,64.64,55.0,27,2,1,-,362.0,,,,,,,,,,,,Male
Sachin Tendulkar,1.0,200.0,329.0,53.78,54.09,248,2058,69,68,51,15921.0,1.0,463.0,452.0,44.83,86.23,200.0,2016,195,96,49,18426.0,76.0,1.0,1.0,10.0,83.33,10.0,2,-,-,-,10.0,Male
Sadagoppan Ramesh,44.0,19.0,37.0,36.95,46.53,143,159,-,8,2,1367.0,55.0,24.0,24.0,28.08,59.15,82.0,70,1,6,-,646.0,,,,,,,,,,,,Male
Sadanand Viswanath,156.0,3.0,5.0,6.2,-,20,-,-,-,-,31.0,139.0,22.0,12.0,9.0,51.79,23.0,5,-,-,-,72.0,,,,,,,,,,,,Male
Sai Sudharsan,88.0,7.0,12.0,31.91,43.32,87,51,-,3,-,383.0,111.0,3.0,3.0,63.5,89.43,62.0,17,1,2,-,127.0,,,,,,,,,,,,Male
Sairaj Bahutule,150.0,2.0,4.0,13.0,37.14,21,3,1,-,-,39.0,178.0,8.0,4.0,7.66,79.31,11.0,2,-,-,-,23.0,,,,,,,,,,,,Male
Salil Ankola,184.0,1.0,1.0,6.0,54.54,6,1,-,-,-,6.0,167.0,20.0,13.0,3.77,80.95,9.0,1,1,-,-,34.0,,,,,,,,,,,,Male
Sameer Sudhakar Dighe,113.0,6.0,10.0,15.66,38.31,47,19,-,-,-,141.0,83.0,23.0,17.0,23.27,60.8,94.0,11,2,1,-,256.0,,,,,,,,,,,,Male
Sandeep Patil,41.0,29.0,47.0,36.09,75.51,174,197,9,7,4,1588.0,41.0,45.0,42.0,24.51,82.17,84.0,-,-,9,-,1005.0,,,,,,,,,,,,Male
Sandeep Sharma,,,,,,,,,,,,,,,,,,,,,,,93.0,2.0,1.0,0.0,100.0,1.0,-,-,-,-,1.0,Male
Sanjay Bangar,80.0,12.0,18.0,29.37,32.48,100,57,3,3,1,470.0,96.0,15.0,15.0,13.84,75.31,57.0,14,3,1,-,180.0,,,,,,,,,,,,Male
Sanjay Manjrekar,35.0,37.0,61.0,37.14,38.67,218,220,1,9,4,2043.0,28.0,74.0,70.0,33.23,64.3,105.0,99,10,15,1,1994.0,,,,,,,,,,,,Male
Sanjay Raul,,,,,,,,,,,,206.0,2.0,2.0,4.0,57.14,8.0,-,-,-,-,8.0,,,,,,,,,,,,Male
Sanju Samson,,,,,,,,,,,,63.0,16.0,14.0,56.66,99.6,108.0,34,22,3,1,510.0,11.0,65.0,57.0,27.01,155.42,111.0,116,84,6,3,1405.0,Male
Saradindu Purnendu Mukherjee,,,,,,,,,,,,230.0,3.0,1.0,0.0,100.0,2.0,-,-,-,-,2.0,,,,,,,,,,,,Male
Sarandeep Singh,149.0,3.0,2.0,43.0,31.61,39,1,-,-,-,43.0,154.0,5.0,4.0,15.66,64.38,19.0,6,-,-,-,47.0,,,,,,,,,,,,Male
Saurabh Tiwary,,,,,,,,,,,,153.0,3.0,2.0,0.0,87.5,37.0,5,1,-,-,49.0,,,,,,,,,,,,Male
Shahbaz Nadeem,192.0,2.0,3.0,0.5,3.33,1,-,-,-,-,1.0,,,,,,,,,,,,,,,,,,,,,,,Male
